大專校院各校科系別概況										
105 學年度 SY2016-2017		
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0001	國立政治大學	340504	(應用)財務(金融)管理學系	D 日	M 碩士	85	0	22	30 臺北市	1 一般
0001	國立政治大學	340504	(應用)財務(金融)管理學系	D 日	B 學士	209	12	44	30 臺北市	1 一般
0001	國立政治大學	340505	金融學系	D 日	D 博士	28	0	8	30 臺北市	1 一般
0001	國立政治大學	340505	金融學系	D 日	M 碩士	74	0	39	30 臺北市	1 一般
0001	國立政治大學	340505	金融學系	D 日	B 學士	254	11	57	30 臺北市	1 一般
0001	國立政治大學	340601	風險管理(與保險)學系	D 日	D 博士	17	0	2	30 臺北市	1 一般
0001	國立政治大學	340601	風險管理(與保險)學系	D 日	M 碩士	73	0	25	30 臺北市	1 一般
0001	國立政治大學	340601	風險管理(與保險)學系	D 日	B 學士	210	12	45	30 臺北市	1 一般
0001	國立政治大學	340701	財政學系	D 日	D 博士	12	0	1	30 臺北市	1 一般
0001	國立政治大學	340701	財政學系	D 日	M 碩士	75	0	23	30 臺北市	1 一般
0001	國立政治大學	340701	財政學系	D 日	B 學士	428	16	110	30 臺北市	1 一般
0001	國立政治大學	349984	科技管理與智慧財產研究所	D 日	D 博士	26	0	1	30 臺北市	1 一般
0001	國立政治大學	349984	科技管理與智慧財產研究所	D 日	M 碩士	134	12	44	30 臺北市	1 一般
0001	國立政治大學	349998	商學院(不分系)	D 日		0	3	0	30 臺北市	1 一般
0001	國立政治大學	380101	法律學系	D 日	D 博士	52	0	3	30 臺北市	1 一般
0001	國立政治大學	380101	法律學系	D 日	M 碩士	243	0	50	30 臺北市	1 一般
0001	國立政治大學	380101	法律學系	D 日	B 學士	773	32	195	30 臺北市	1 一般
0001	國立政治大學	380204	法律科際整合研究所	D 日	M 碩士	90	7	15	30 臺北市	1 一般
0001	國立政治大學	389998	法學院	N 職	M 碩士	261	6	45	30 臺北市	1 一般
0001	國立政治大學	440302	應用物理學系	D 日	M 碩士	24	5	8	30 臺北市	1 一般
0001	國立政治大學	460102	應用數學系	D 日	D 博士	7	0	0	30 臺北市	1 一般
0001	國立政治大學	460102	應用數學系	D 日	M 碩士	42	0	10	30 臺北市	1 一般
0001	國立政治大學	460102	應用數學系	D 日	B 學士	190	14	31	30 臺北市	1 一般
0001	國立政治大學	460102	應用數學系	N 職	M 碩士	0	0	5	30 臺北市	1 一般
0001	國立政治大學	460201	統計(科學)(資訊)學系	D 日	D 博士	3	0	1	30 臺北市	1 一般
0001	國立政治大學	460201	統計(科學)(資訊)學系	D 日	M 碩士	65	0	23	30 臺北市	1 一般
0001	國立政治大學	460201	統計(科學)(資訊)學系	D 日	B 學士	211	16	50	30 臺北市	1 一般
0001	國立政治大學	480109	資訊管理(技術)學系	D 日	D 博士	58	0	6	30 臺北市	1 一般
0001	國立政治大學	480109	資訊管理(技術)學系	D 日	M 碩士	93	0	46	30 臺北市	1 一般
0001	國立政治大學	480109	資訊管理(技術)學系	D 日	B 學士	328	22	69	30 臺北市	1 一般
0001	國立政治大學	480505	數位內容(科技)(與)(管理)學系	D 日	M 碩士	52	0	7	30 臺北市	1 一般
0001	國立政治大學	520116	資訊科學學系	D 日	D 博士	15	0	0	30 臺北市	1 一般
0001	國立政治大學	520116	資訊科學學系	D 日	M 碩士	108	0	19	30 臺北市	1 一般
0001	國立政治大學	520116	資訊科學學系	D 日	B 學士	202	18	40	30 臺北市	1 一般
0001	國立政治大學	520116	資訊科學學系	N 職	M 碩士	69	0	13	30 臺北市	1 一般
0001	國立政治大學	520178	社群網路與人智計算學位學程	D 日	D 博士	11	0	0	30 臺北市	1 一般
0001	國立政治大學	720111	神經科學研究所	D 日	M 碩士	12	5	3	30 臺北市	1 一般
0001	國立政治大學	760301	(社會政策與)社會工作學系	D 日	D 博士	7	0	0	30 臺北市	1 一般
0001	國立政治大學	760301	(社會政策與)社會工作學系	D 日	M 碩士	61	6	11	30 臺北市	1 一般
0001	國立政治大學	999901	通識及共同科目	D 日		0	14	0	30 臺北市	1 一般
0001	國立政治大學	999903	軍訓教官	D 日		0	6	0	30 臺北市	1 一般
0001	國立政治大學	999905	師資培育中心	D 日		0	4	0	30 臺北市	1 一般
0001	國立政治大學	999999	其他(包括行政助教)	D 日		0	20	0	30 臺北市	1 一般
0002	國立清華大學	220101	臺灣文學系	D 日	D 博士	10	0	0	18 新竹市	1 一般
0002	國立清華大學	220101	臺灣文學系	D 日	M 碩士	40	7	6	18 新竹市	1 一般
0002	國立清華大學	220201	(中)國(語)文學系	D 日	D 博士	64	0	6	18 新竹市	1 一般
0002	國立清華大學	220201	(中)國(語)文學系	D 日	M 碩士	72	0	13	18 新竹市	1 一般
0002	國立清華大學	220201	(中)國(語)文學系	D 日	B 學士	210	18	47	18 新竹市	1 一般
0002	國立清華大學	220301	外國語文學系	D 日	M 碩士	48	0	13	18 新竹市	1 一般
0002	國立清華大學	220301	外國語文學系	D 日	B 學士	210	17	54	18 新竹市	1 一般
0002	國立清華大學	220701	語言學研究所	D 日	D 博士	21	0	5	18 新竹市	1 一般
0002	國立清華大學	220701	語言學研究所	D 日	M 碩士	41	8	9	18 新竹市	1 一般
0002	國立清華大學	220901	(歷)史學系	D 日	D 博士	22	0	1	18 新竹市	1 一般
0002	國立清華大學	220901	(歷)史學系	D 日	M 碩士	61	9	10	18 新竹市	1 一般
0002	國立清華大學	221001	人類學系	D 日	D 博士	10	0	1	18 新竹市	1 一般
0002	國立清華大學	221001	人類學系	D 日	M 碩士	40	9	8	18 新竹市	1 一般
0002	國立清華大學	221101	哲學系	D 日	M 碩士	22	7	0	18 新竹市	1 一般
0002	國立清華大學	229916	亞際文化研究學位學程	D 日	M 碩士	6	0	0	18 新竹市	1 一般
0002	國立清華大學	229999	人文(與)社會學院(不分系)	D 日	B 學士	341	8	54	18 新竹市	1 一般
0002	國立清華大學	310101	經濟學系	D 日	D 博士	21	0	1	18 新竹市	1 一般
0002	國立清華大學	310101	經濟學系	D 日	M 碩士	41	0	15	18 新竹市	1 一般
0002	國立清華大學	310101	經濟學系	D 日	B 學士	468	24	108	18 新竹市	1 一般
0002	國立清華大學	310301	社會學系	D 日	D 博士	19	0	1	18 新竹市	1 一般
0002	國立清華大學	310301	社會學系	D 日	M 碩士	77	8	22	18 新竹市	1 一般
0002	國立清華大學	310719	臺灣研究所	N 職	M 碩士	60	0	4	18 新竹市	1 一般
0002	國立清華大學	311019	學習科學研究所	D 日	M 碩士	42	5	10	18 新竹市	1 一般
0002	國立清華大學	340303	經營(與)管理(技術)學系	N 職	M 碩士	101	0	36	18 新竹市	1 一般
0002	國立清華大學	340310	國際(經營)(專業)管理學位學程(含IMBA)	D 日	M 碩士	45	0	19	18 新竹市	1 一般
0002	國立清華大學	340501	(計量)(數量)財務金融學系	D 日	M 碩士	56	0	18	18 新竹市	1 一般
0002	國立清華大學	340501	(計量)(數量)財務金融學系	D 日	B 學士	218	14	60	18 新竹市	1 一般
0002	國立清華大學	349901	(商務)科技管理系	D 日	D 博士	38	0	7	18 新竹市	1 一般
0002	國立清華大學	349901	(商務)科技管理系	D 日	M 碩士	58	11	19	18 新竹市	1 一般
0002	國立清華大學	349939	高階(主管)(經營)(企業)管理碩士(EMBA)	N 職	M 碩士	86	0	35	18 新竹市	1 一般
0002	國立清華大學	349951	服務科學(管理)研究所	D 日	D 博士	5	0	0	18 新竹市	1 一般
0002	國立清華大學	349951	服務科學(管理)研究所	D 日	M 碩士	49	8	20	18 新竹市	1 一般
0002	國立清華大學	349996	科技管理學院(不分系)	D 日	B 學士	181	0	49	18 新竹市	1 一般
0002	國立清華大學	380203	科技法律學系	D 日	D 博士	3	0	0	18 新竹市	1 一般
0002	國立清華大學	380203	科技法律學系	D 日	M 碩士	98	11	38	18 新竹市	1 一般
0002	國立清華大學	420103	生命科學系	D 日	B 學士	210	5	59	18 新竹市	1 一般
0002	國立清華大學	420302	(自然)生物科技學系	D 日	D 博士	54	0	7	18 新竹市	1 一般
0002	國立清華大學	420302	(自然)生物科技學系	D 日	M 碩士	59	9	28	18 新竹市	1 一般
0002	國立清華大學	420313	分子(生物)及細胞生物研究所	D 日	D 博士	34	0	5	18 新竹市	1 一般
0002	國立清華大學	420313	分子(生物)及細胞生物研究所	D 日	M 碩士	33	10	19	18 新竹市	1 一般
0002	國立清華大學	420605	生物資訊與結構生物研究所	D 日	D 博士	74	0	12	18 新竹市	1 一般
0002	國立清華大學	420605	生物資訊與結構生物研究所	D 日	M 碩士	58	10	20	18 新竹市	1 一般
0002	國立清華大學	429903	生命科學院(不分系)	D 日	B 學士	120	0	23	18 新竹市	1 一般
0002	國立清華大學	429904	系統神經科學研究所	D 日	M 碩士	29	5	4	18 新竹市	1 一般
0002	國立清華大學	440101	化學系	D 日	D 博士	174	0	35	18 新竹市	1 一般
0002	國立清華大學	440101	化學系	D 日	M 碩士	172	0	79	18 新竹市	1 一般
0002	國立清華大學	440101	化學系	D 日	B 學士	288	27	59	18 新竹市	1 一般




